Column1	Column2	Column3	Column4	Column5
King of Seas	https://ec.nintendo.com/HK/zh/titles/70010000039590	× 1	HKD 195	HKD 78
高考戀愛一百天～Gaokao.Love.100Days～	https://ec.nintendo.com/HK/zh/titles/70010000036798	× 1	HKD 49	HKD 33
斬妖Raksasi	https://ec.nintendo.com/HK/zh/titles/70010000036774	× 1	HKD 108	HKD 75
艾芮與季節的秘密	https://ec.nintendo.com/HK/zh/titles/70010000033956	× 1	HKD 308	HKD 61
"THE Card: Poker, Texas hold 'em, Blackjack and Page One"	https://ec.nintendo.com/HK/zh/titles/70010000029368	× 1	HKD 36	HKD 14
比特果園動物谷豪華版	https://ec.nintendo.com/HK/zh/bundles/70070000014215	× 1	HKD 69	HKD 10
守護者傳奇(Legend of Keepers)	https://ec.nintendo.com/HK/zh/titles/70010000041214	× 1	HKD 89	HKD 44
Mad Father《狂父》	https://ec.nintendo.com/HK/zh/titles/70010000035382	× 1	HKD 52	HKD 31
The Sushi Spinnery	https://ec.nintendo.com/HK/zh/titles/70010000039287	× 1	HKD 100	HKD 50
The Men of Yoshiwara: Ohgiya	https://ec.nintendo.com/HK/zh/titles/70010000029789	× 1	HKD 117	HKD 58
骷髏 (Skully)	https://ec.nintendo.com/HK/zh/titles/70010000032325	× 1	HKD 238	HKD 47
釣魚天堂	https://ec.nintendo.com/HK/zh/titles/70010000048252	× 1	HKD 100	HKD 90
XCOM 2 典藏合輯	https://ec.nintendo.com/HK/zh/titles/70010000025495	× 1	HKD 398	HKD 79
《鬥陣特攻》傳奇版	https://ec.nintendo.com/HK/zh/titles/70010000023458	× 1	HKD 314	HKD 157
映夢	https://ec.nintendo.com/HK/zh/titles/70010000032878	× 1	HKD 78	HKD 39
Station Manager	https://ec.nintendo.com/HK/zh/titles/70010000036941	× 1	HKD 100	HKD 60
Valfaris	https://ec.nintendo.com/HK/zh/titles/70010000023027	× 1	HKD 178	HKD 48
天使帝國Ⅳ	https://ec.nintendo.com/HK/zh/titles/70010000039065	× 1	HKD 158	HKD 78
巴克·布蘭得利2	https://ec.nintendo.com/HK/zh/titles/70010000050078	× 1	HKD 57	HKD 10
豪斯托裡亞	https://ec.nintendo.com/HK/zh/titles/70010000045652	× 1	HKD 99	HKD 10
Resident Evil	https://ec.nintendo.com/HK/zh/titles/70010000012853	× 1	HKD 156	HKD 78
蠟燭人 Candleman	https://ec.nintendo.com/HK/zh/titles/70010000037306	× 1	HKD 82	HKD 57
Klondike Solitaire - 接龍	https://ec.nintendo.com/HK/zh/titles/70010000037592	× 1	HKD 70	HKD 10
Resident Evil 0	https://ec.nintendo.com/HK/zh/titles/70010000012849	× 1	HKD 156	HKD 78
骰子地下城	https://ec.nintendo.com/HK/zh/titles/70010000028410	× 1	HKD 135	HKD 33
Banners of Ruin	https://ec.nintendo.com/HK/zh/titles/70010000040692	× 1	HKD 89	HKD 44
聖女之歌 ZERO Episode 1	https://ec.nintendo.com/HK/zh/titles/70010000011722	× 1	HKD 102	HKD 51
Blue Rider	https://ec.nintendo.com/HK/zh/titles/70010000011583	× 1	HKD 78	HKD 15
殺戮的天使 (Angels of Death)	https://ec.nintendo.com/HK/zh/titles/70010000040262	× 1	HKD 76	HKD 45
巴龍飛行	https://ec.nintendo.com/HK/zh/titles/70010000051766	× 1	HKD 47	HKD 10
Back to Bed	https://ec.nintendo.com/HK/zh/titles/70010000019031	× 1	HKD 38	HKD 15
She Sees Red - Interactive Movie	https://ec.nintendo.com/HK/zh/titles/70010000028638	× 1	HKD 70	HKD 19
憶戀～Reverse Memories～	https://ec.nintendo.com/HK/zh/titles/70010000042456	× 1	HKD 32	HKD 21
劍與骨頭	https://ec.nintendo.com/HK/zh/titles/70010000048694	× 1	HKD 59	HKD 10
Wild Park Manager	https://ec.nintendo.com/HK/zh/titles/70010000035549	× 1	HKD 100	HKD 60
Hello Neighbor	https://ec.nintendo.com/HK/zh/titles/70010000010713	× 1	HKD 309	HKD 77
THE 密室解碼 ～牽動命運的35道謎團～	https://ec.nintendo.com/HK/zh/titles/70010000039247	× 1	HKD 149	HKD 74
漫畫道場物語(The Manga Works)	https://ec.nintendo.com/HK/zh/titles/70010000043160	× 1	HKD 120	HKD 60
終結降臨 (Death Come True)	https://ec.nintendo.com/HK/zh/titles/70010000029792	× 1	HKD 123	HKD 86
SELF 自己	https://ec.nintendo.com/HK/zh/titles/70010000027716	× 1	HKD 45	HKD 22
Secret Neighbor	https://ec.nintendo.com/HK/zh/titles/70010000038706	× 1	HKD 155	HKD 78
風雲拳擊物語(Boxing Gym Story)	https://ec.nintendo.com/HK/zh/titles/70010000037758	× 1	HKD 120	HKD 96
15in1 Solitaire	https://ec.nintendo.com/HK/zh/titles/70010000044764	× 1	HKD 20	HKD 16
涅盤	https://ec.nintendo.com/HK/zh/titles/70010000047442	× 1	HKD 54	HKD 10
Among Pipes	https://ec.nintendo.com/HK/zh/titles/70010000039553	× 1	HKD 69	HKD 10
Floating Farmer	https://ec.nintendo.com/HK/zh/titles/70010000049336	× 1	HKD 20	HKD 16
Spider Solitaire 蜘蛛紙牌	https://ec.nintendo.com/HK/zh/titles/70010000044029	× 1	HKD 82	HKD 10
Ni no Kuni? II: Revenant Kingdom PRINCE'S EDITION	https://ec.nintendo.com/HK/zh/titles/70010000037237	× 1	HKD 479	HKD 248
8-Bit Farm	https://ec.nintendo.com/HK/zh/titles/70010000032491	× 1	HKD 100	HKD 60
Freecell Solitaire Deluxe 自由接龍豪華版	https://ec.nintendo.com/HK/zh/titles/70010000044058	× 1	HKD 83	HKD 10
THE Card Battle: Eternal Destiny	https://ec.nintendo.com/HK/zh/titles/70010000041501	× 1	HKD 129	HKD 64
博雷亞爾 特內佈雷	https://ec.nintendo.com/HK/zh/titles/70010000046449	× 1	HKD 49	HKD 10
Food Truck Tycoon	https://ec.nintendo.com/HK/zh/titles/70010000036348	× 1	HKD 40	HKD 10
ABC Match with Me	https://ec.nintendo.com/HK/zh/titles/70010000050998	× 1	HKD 99	HKD 15
幽鈴蘭～Lily of the Hollow - Resurrection～	https://ec.nintendo.com/HK/zh/titles/70010000036530	× 1	HKD 32	HKD 21
Royal Tower Defense	https://ec.nintendo.com/HK/zh/titles/70010000039904	× 1	HKD 75	HKD 10
LiEat	https://ec.nintendo.com/HK/zh/titles/70010000041495	× 1	HKD 52	HKD 31
《橫衝直撞：狂飆樂園》重製版	https://ec.nintendo.com/HK/zh/titles/70010000027022	× 1	HKD 239	HKD 78
Hentai vs. Evil	https://ec.nintendo.com/HK/zh/titles/70010000037459	× 1	HKD 78	HKD 45
用節奏學英語 BeatTalk	https://ec.nintendo.com/HK/zh/titles/70010000039406	× 1	HKD 135	HKD 85
Zumba Aqua	https://ec.nintendo.com/HK/zh/titles/70010000045727	× 1	HKD 20	HKD 13
別敲兩次門	https://ec.nintendo.com/HK/zh/titles/70010000014202	× 1	HKD 98	HKD 49
大胃王爵士 (Sir Eatsalot)	https://ec.nintendo.com/HK/zh/titles/70010000025648	× 1	HKD 98	HKD 15
熊先生的餐廳	https://ec.nintendo.com/HK/zh/titles/70010000041017	× 1	HKD 100	HKD 75
鬼來信 : 恐怖視覺小說	https://ec.nintendo.com/HK/zh/titles/70010000017458	× 1	HKD 148	HKD 99
Pancake Bar Tycoon - 鬆餅餐車大亨	https://ec.nintendo.com/HK/zh/titles/70010000037907	× 1	HKD 40	HKD 10
密室的祭品／ABYSS OF THE SACRIFICE	https://ec.nintendo.com/HK/zh/titles/70010000033526	× 1	HKD 296	HKD 148
滅魂·誤佳期	https://ec.nintendo.com/HK/zh/titles/70010000036796	× 1	HKD 39	HKD 24
Poker Pretty Girls Battle: Fantasy World Edition	https://ec.nintendo.com/HK/zh/titles/70010000039829	× 1	HKD 45	HKD 28
Green Phoenix 綠鳳	https://ec.nintendo.com/HK/zh/titles/70010000046901	× 1	HKD 28	HKD 16
Zoo Dentist	https://ec.nintendo.com/HK/zh/titles/70010000041713	× 1	HKD 99	HKD 15
Pet Shop Snacks - 寵物小吃店	https://ec.nintendo.com/HK/zh/titles/70010000040446	× 1	HKD 47	HKD 10
廚師的尾巴 Chef's Tail	https://ec.nintendo.com/HK/zh/titles/70010000052938	× 1	HKD 85	HKD 72
森久城物語	https://ec.nintendo.com/HK/zh/titles/70010000047326	× 1	HKD 99	HKD 59
專業版 體操運動員 模擬器	https://ec.nintendo.com/HK/zh/titles/70010000049605	× 1	HKD 162	HKD 40
The Survivalists - Deluxe Edition	https://ec.nintendo.com/HK/zh/bundles/70070000011210	× 1	HKD 205	HKD 82
Arrog 塵歸塵	https://ec.nintendo.com/HK/zh/titles/70010000036340	× 1	HKD 29	HKD 19
Fantasy Tower Defense	https://ec.nintendo.com/HK/zh/titles/70010000043369	× 1	HKD 49	HKD 10
環無窮大	https://ec.nintendo.com/HK/zh/titles/70010000044664	× 1	HKD 79	HKD 10
The Good Life: 欠債女王與世界第一幸福的小鎮	https://ec.nintendo.com/HK/zh/titles/70010000043800	× 1	HKD 176	HKD 123
小蟲	https://ec.nintendo.com/HK/zh/titles/70010000046439	× 1	HKD 99	HKD 10
Gunlord X	https://ec.nintendo.com/HK/zh/titles/70010000023369	× 1	HKD 78	HKD 23
妖詩～Youkai Poetry～	https://ec.nintendo.com/HK/zh/titles/70010000041302	× 1	HKD 32	HKD 21
Burger Chef Tycoon 漢堡廚師大亨 完整版	https://ec.nintendo.com/HK/zh/bundles/70070000013274	× 1	HKD 56	HKD 10
瑪拉的夏天	https://ec.nintendo.com/HK/zh/titles/70010000040482	× 1	HKD 190	HKD 104
Discolored 無彩世界	https://ec.nintendo.com/HK/zh/titles/70010000034362	× 1	HKD 75	HKD 37
幕末?華新選組 (幕末戀華新選組)	https://ec.nintendo.com/HK/zh/titles/70010000036053	× 1	HKD 336	HKD 168
Mindcell	https://ec.nintendo.com/HK/zh/titles/70010000048062	× 1	HKD 40	HKD 25
ABC Follow Me: 動物	https://ec.nintendo.com/HK/zh/titles/70010000050369	× 1	HKD 99	HKD 15
Ultra Age	https://ec.nintendo.com/HK/zh/titles/70010000025089	× 1	HKD 238	HKD 119
Worms Rumble - Digital Deluxe Edition	https://ec.nintendo.com/HK/zh/bundles/70070000012213	× 1	HKD 161	HKD 40
The Legend of Ninja	https://ec.nintendo.com/HK/zh/titles/70010000044399	× 1	HKD 49	HKD 10
"The Casino -Roulette, Video Poker, Slot Machines, Craps, Baccarat-"	https://ec.nintendo.com/HK/zh/titles/70010000034928	× 1	HKD 74	HKD 37
All in Casino Girls	https://ec.nintendo.com/HK/zh/titles/70010000046393	× 1	HKD 39	HKD 10
Wife Quest	https://ec.nintendo.com/HK/zh/titles/70010000040254	× 1	HKD 58	HKD 48
Pretty Girls Panic! PLUS	https://ec.nintendo.com/HK/zh/titles/70010000040619	× 1	HKD 45	HKD 30
Pretty Girls Speed	https://ec.nintendo.com/HK/zh/titles/70010000052518	× 1	HKD 45	HKD 36
歐利歐利世界 (OlliOlli World)	https://ec.nintendo.com/HK/zh/titles/70010000028265	× 1	HKD 234	HKD 187
Bishoujo Battle Mahjong Solitaire	https://ec.nintendo.com/HK/zh/titles/70010000037561	× 1	HKD 45	HKD 28
Pretty Girls Klondike Solitaire	https://ec.nintendo.com/HK/zh/titles/70010000039834	× 1	HKD 48	HKD 30
Kosmonavtes: Escape Reality	https://ec.nintendo.com/HK/zh/titles/70010000043558	× 1	HKD 30	HKD 10
十字路口墜毀 Crossroad crash	https://ec.nintendo.com/HK/zh/titles/70010000046221	× 1	HKD 39	HKD 11
"沒有名字的綜合症：未探索的切爾諾貝利 ""S.W.A.N.: Chernobyl Unexplored"""	https://ec.nintendo.com/HK/zh/titles/70010000053463	× 1	HKD 99	HKD 84
廢料任務	https://ec.nintendo.com/HK/zh/titles/70010000046444	× 1	HKD 79	HKD 10
Devious Dungeon 2	https://ec.nintendo.com/HK/zh/titles/70010000019325	× 1	HKD 68	HKD 10
殘酷樂隊生涯 Cruel Bands Career	https://ec.nintendo.com/HK/zh/titles/70010000036768	× 1	HKD 23	HKD 16
Macrotis: A Mother's Journey	https://ec.nintendo.com/HK/zh/titles/70010000028141	× 1	HKD 85	HKD 40
Lotus Bloom	https://ec.nintendo.com/HK/zh/titles/70010000044019	× 1	HKD 20	HKD 10
Panmorphia	https://ec.nintendo.com/HK/zh/titles/70010000046236	× 1	HKD 50	HKD 10
Kosmonavtes: Academy Escape	https://ec.nintendo.com/HK/zh/titles/70010000047586	× 1	HKD 50	HKD 10
犬塚 - 欺騙的追逐 豪華版	https://ec.nintendo.com/HK/zh/bundles/70070000014050	× 1	HKD 66	HKD 10
小不點傳說	https://ec.nintendo.com/HK/zh/titles/70010000027674	× 1	HKD 75	HKD 30
◎古蹟之謎◎ Creature in the Well	https://ec.nintendo.com/HK/zh/titles/70010000042982	× 1	HKD 135	HKD 88
Salad Bar Tycoon 沙拉餐車大亨 : 擴展版	https://ec.nintendo.com/HK/zh/bundles/70070000013940	× 1	HKD 48	HKD 20
Timelie	https://ec.nintendo.com/HK/zh/titles/70010000049045	× 1	HKD 159	HKD 143
寶石巫師戰術	https://ec.nintendo.com/HK/zh/titles/70010000048552	× 1	HKD 99	HKD 10
雷蛇：納米的戰爭	https://ec.nintendo.com/HK/zh/titles/70010000046926	× 1	HKD 79	HKD 10
奧瓦的遺產 Alwa's Legacy	https://ec.nintendo.com/HK/zh/titles/70010000048743	× 1	HKD 142	HKD 99
Mini Gardens	https://ec.nintendo.com/HK/zh/titles/70010000053510	× 1	HKD 20	HKD 16
CASE: Animatronics	https://ec.nintendo.com/HK/zh/titles/70010000034230	× 1	HKD 78	HKD 30
Sense - 不祥的預感: A Cyberpunk Ghost Story	https://ec.nintendo.com/HK/zh/titles/70010000022666	× 1	HKD 148	HKD 48
Never Again	https://ec.nintendo.com/HK/zh/titles/70010000032631	× 1	HKD 98	HKD 38
戰場的賦格曲	https://ec.nintendo.com/HK/zh/titles/70010000043371	× 1	HKD 328	HKD 229
Fall Gummies	https://ec.nintendo.com/HK/zh/titles/70010000043857	× 1	HKD 69	HKD 10
Colorfall	https://ec.nintendo.com/HK/zh/titles/70010000040275	× 1		
Hextones	https://ec.nintendo.com/HK/zh/titles/70010000042742	× 1	HKD 20	HKD 10
The Wake 浪痕：回憶密碼	https://ec.nintendo.com/HK/zh/titles/70010000048530	× 1	HKD 28	HKD 19
The Serpent Rogue	https://ec.nintendo.com/HK/zh/titles/70010000051763	× 1	HKD 150	HKD 112
Memories of East Coast	https://ec.nintendo.com/HK/zh/titles/70010000045993	× 1	HKD 38	HKD 25
Swim Out	https://ec.nintendo.com/HK/zh/titles/70010000038134	× 1	HKD 39	HKD 19
極限凸起 萌情水晶 H (英文版)	https://ec.nintendo.com/HK/zh/titles/70010000029522	× 1	HKD 298	HKD 148
小不點傳說 2+	https://ec.nintendo.com/HK/zh/titles/70010000039238	× 1	HKD 165	HKD 81
Jump King	https://ec.nintendo.com/HK/zh/titles/70010000033778	× 1	HKD 133	HKD 73
《Lost in Random?》	https://ec.nintendo.com/HK/zh/titles/70010000033061	× 1	HKD 239	HKD 119
戰場的賦格曲　豪華版	https://ec.nintendo.com/HK/zh/bundles/70070000012630	× 1	HKD 489	HKD 342
Bishoujo Battle Cyber Panic!	https://ec.nintendo.com/HK/zh/titles/70010000037556	× 1	HKD 45	HKD 28
Super Magbot	https://ec.nintendo.com/HK/zh/titles/70010000040421	× 1	HKD 134	HKD 33
Sweet Bakery Tycoon 甜蜜麵包屋大亨	https://ec.nintendo.com/HK/zh/titles/70010000038680	× 1	HKD 40	HKD 10
HIX: Puzzle Islands	https://ec.nintendo.com/HK/zh/titles/70010000042898	× 1	HKD 69	HKD 34
Storm Tale 2	https://ec.nintendo.com/HK/zh/titles/70010000048492	× 1	HKD 155	HKD 46
Treasure Temples	https://ec.nintendo.com/HK/zh/titles/70010000048497	× 1	HKD 45	HKD 36
魚女巫萬聖節(FishWitch Halloween)	https://ec.nintendo.com/HK/zh/titles/70010000047284	× 1	HKD 155	HKD 46
Day of the Dead: Solitaire Collection	https://ec.nintendo.com/HK/zh/titles/70010000048487	× 1	HKD 155	HKD 46
BigChick	https://ec.nintendo.com/HK/zh/titles/70010000050048	× 1	HKD 39	HKD 19
Blow & Fly	https://ec.nintendo.com/HK/zh/titles/70010000051817	× 1	HKD 38	HKD 30
ABC Search With Me	https://ec.nintendo.com/HK/zh/titles/70010000052093	× 1	HKD 99	HKD 15
Circuits	https://ec.nintendo.com/HK/zh/titles/70010000027165	× 1	HKD 38	HKD 15
Alien: Isolation	https://ec.nintendo.com/HK/zh/titles/70010000020817	× 1	HKD 279	HKD 139
Kids Play 拼圖：動物、車輛等等	https://ec.nintendo.com/HK/zh/titles/70010000039486	× 1	HKD 60	HKD 30
They Bleed Pixels	https://ec.nintendo.com/HK/zh/titles/70010000028526	× 1	HKD 118	HKD 17
Kids Play 形狀拼圖	https://ec.nintendo.com/HK/zh/titles/70010000039540	× 1	HKD 60	HKD 30
Wanna Survive: 活屍戰棋	https://ec.nintendo.com/HK/zh/titles/70010000039272	× 1	HKD 100	HKD 50
白虎隊(Byakko-tai Samurai Boys)	https://ec.nintendo.com/HK/zh/titles/70010000036973	× 1	HKD 144	HKD 72
攝追赤紅末世代 特別版	https://ec.nintendo.com/HK/zh/titles/70010000040176	× 1	HKD 120	HKD 96
庫里塔多：機關之塔	https://ec.nintendo.com/HK/zh/titles/70010000045366	× 1	HKD 132	HKD 92
Rogue Explorer	https://ec.nintendo.com/HK/zh/titles/70010000040599	× 1	HKD 60	HKD 30
Thunder Kid: Hunt for the Robot Emperor	https://ec.nintendo.com/HK/zh/titles/70010000045967	× 1	HKD 54	HKD 35
Panmorphia: Enchanted	https://ec.nintendo.com/HK/zh/titles/70010000046945	× 1	HKD 30	HKD 10
晃動的鐘擺	https://ec.nintendo.com/HK/zh/titles/70010000047893	× 1	HKD 79	HKD 10
hocus 2	https://ec.nintendo.com/HK/zh/titles/70010000047902	× 1	HKD 40	HKD 20
Spacewing War	https://ec.nintendo.com/HK/zh/titles/70010000048993	× 1	HKD 50	HKD 40
普盧根	https://ec.nintendo.com/HK/zh/titles/70010000050132	× 1	HKD 29	HKD 10
Neversong《永無歌》	https://ec.nintendo.com/HK/zh/titles/70010000029241	× 1	HKD 128	HKD 64
《Fe》	https://ec.nintendo.com/HK/zh/titles/70010000027360	× 1	HKD 159	HKD 63
Pinstripe《地獄救援》	https://ec.nintendo.com/HK/zh/titles/70010000029428	× 1	HKD 98	HKD 49
Moorhuhn Wanted	https://ec.nintendo.com/HK/zh/titles/70010000043063	× 1	HKD 65	HKD 45
Stellar Interface	https://ec.nintendo.com/HK/zh/titles/70010000015753	× 1	HKD 113	HKD 93
Freshly Frosted	https://ec.nintendo.com/HK/zh/titles/70010000054184	× 1	HKD 52	HKD 46
Metaloid: Origin	https://ec.nintendo.com/HK/zh/titles/70010000031912	× 1	HKD 50	HKD 18
Narita Boy	https://ec.nintendo.com/HK/zh/titles/70010000037911	× 1	HKD 169	HKD 67
Synergia	https://ec.nintendo.com/HK/zh/titles/70010000022665	× 1	HKD 118	HKD 45
公主壁櫥	https://ec.nintendo.com/HK/zh/titles/70010000028619	× 1	HKD 199	HKD 99
Perfect Traffic Simulator	https://ec.nintendo.com/HK/zh/titles/70010000044234	× 1	HKD 99	HKD 15
變化男朋友（My Bewitching Perfume）	https://ec.nintendo.com/HK/zh/titles/70010000030734	× 1	HKD 144	HKD 72
Pachi Pachi On a Roll	https://ec.nintendo.com/HK/zh/titles/70010000035869	× 1	HKD 54	HKD 20
Traditional Tactics Ne+	https://ec.nintendo.com/HK/zh/titles/70010000052791	× 1	HKD 129	HKD 64
鑽石女孩（Diamond Girl ★An Earnest Education in Love★）	https://ec.nintendo.com/HK/zh/titles/70010000032505	× 1	HKD 144	HKD 72
夢鳥懷舊(Yumemidori Nostalgia)	https://ec.nintendo.com/HK/zh/titles/70010000035289	× 1	HKD 144	HKD 72
Knight's Retreat 西洋棋拼圖: 騎士的撤退	https://ec.nintendo.com/HK/zh/titles/70010000045724	× 1	HKD 60	HKD 39
Crawlco Block Knockers	https://ec.nintendo.com/HK/zh/titles/70010000034247	× 1	HKD 68	HKD 28
Golf With Your Friends	https://ec.nintendo.com/HK/zh/titles/70010000035634	× 1 ～ 12	HKD 154	HKD 38
Knights & Guns 擴展版	https://ec.nintendo.com/HK/zh/bundles/70070000013516	× 1 ～ 2	HKD 144	HKD 20
Resident Evil 6	https://ec.nintendo.com/HK/zh/titles/70010000015879	× 1 ～ 2	HKD 156	HKD 78
	https://ec.nintendo.com/HK/zh/titles/70010000049894	× 1 ～ 2	HKD 156	HKD 62
	https://ec.nintendo.com/HK/zh/titles/70010000029651	× 1 ～ 2	HKD 50	HKD 12
Resident Evil 5	https://ec.nintendo.com/HK/zh/titles/70010000015875	× 1 ～ 2	HKD 156	HKD 78
大家一起閱讀空氣。2 ～令和～	https://ec.nintendo.com/HK/zh/titles/70010000031985	× 1 ～ 2	HKD 39	HKD 29
真人快打11終極版	https://ec.nintendo.com/HK/zh/bundles/70070000011265	× 1 ～ 2	HKD 468	HKD 187
騎士與單車	https://ec.nintendo.com/HK/zh/titles/70010000044230	× 1 ～ 2	HKD 89	HKD 44
Stealth 隱身	https://ec.nintendo.com/HK/zh/titles/70010000036805	× 1 ～ 2	HKD 38	HKD 11
Classic Games Collection Vol.1 - 經典遊戲集vol. 1	https://ec.nintendo.com/HK/zh/titles/70010000037178	× 1 ～ 2	HKD 40	HKD 10
翻轉棋 Let's Go	https://ec.nintendo.com/HK/zh/titles/70010000038527	× 1 ～ 2	HKD 32	HKD 22
Override 2: 超級機甲聯盟 超人 Deluxe Edition	https://ec.nintendo.com/HK/zh/bundles/70070000012079	× 1 ～ 2	HKD 308	HKD 92
非常普通的鹿 鹿頂記之弱小的鹿總是受欺負 (DEEEER Simulator)	https://ec.nintendo.com/HK/zh/titles/70010000041512	× 1 ～ 2	HKD 89	HKD 53
WHAT THE GOLF?	https://ec.nintendo.com/HK/zh/titles/70010000048117	× 1 ～ 2	HKD 89	HKD 44
Street Basketball - 街頭籃球	https://ec.nintendo.com/HK/zh/titles/70010000037176	× 1 ～ 2	HKD 50	HKD 10
Lines Frenzy 線瘋狂	https://ec.nintendo.com/HK/zh/titles/70010000043236	× 1 ～ 2	HKD 45	HKD 10
邊緣禁地傳奇合輯	https://ec.nintendo.com/HK/zh/bundles/70070000010705	× 1 ～ 2	HKD 398	HKD 159
暴走大鵝	https://ec.nintendo.com/HK/zh/titles/70010000039155	× 1 ～ 2	HKD 89	HKD 44
LEGO? Harry Potter? Collection	https://ec.nintendo.com/HK/zh/titles/70010000013535	× 1 ～ 2	HKD 388	HKD 174
LEGO? Marvel?超級英雄	https://ec.nintendo.com/HK/zh/titles/70010000026608	× 1 ～ 2	HKD 312	HKD 137
Trigger Witch	https://ec.nintendo.com/HK/zh/titles/70010000038559	× 1 ～ 2	HKD 110	HKD 65
Gangsta Paradise	https://ec.nintendo.com/HK/zh/titles/70010000040036	× 1 ～ 2	HKD 99	HKD 15
Totally Reliable Delivery Service Deluxe Edition	https://ec.nintendo.com/HK/zh/bundles/70070000012719	× 1 ～ 2	HKD 189	HKD 95
Override 2: 超級機甲聯盟 (Override 2: Super Mech League)	https://ec.nintendo.com/HK/zh/titles/70010000038287	× 1 ～ 2	HKD 238	HKD 71
LEGO? 侏羅紀世界	https://ec.nintendo.com/HK/zh/titles/70010000022316	× 1 ～ 2	HKD 312	HKD 109
Xeno Crisis	https://ec.nintendo.com/HK/zh/titles/70010000029244	× 1 ～ 2	HKD 148	HKD 48
LEGO? DC 超級反派豪華版	https://ec.nintendo.com/HK/zh/bundles/70070000010034	× 1 ～ 2	HKD 545	HKD 130
LEGO? 超人特攻隊	https://ec.nintendo.com/HK/zh/titles/70010000010701	× 1 ～ 2	HKD 429	HKD 85
Waifu Uncovered	https://ec.nintendo.com/HK/zh/titles/70010000029572	× 1 ～ 2	HKD 50	HKD 25
《樂高?小城：臥底密探》[LEGO? CITY Undercover]	https://ec.nintendo.com/HK/zh/titles/70010000050979	× 1 ～ 2	HKD 312	HKD 249
真人快打11	https://ec.nintendo.com/HK/zh/titles/70010000018077	× 1 ～ 2	HKD 388	HKD 128
Totally Reliable Delivery Service	https://ec.nintendo.com/HK/zh/titles/70010000026950	× 1 ～ 2	HKD 115	HKD 58
Scribblenauts Mega Pack	https://ec.nintendo.com/HK/zh/titles/70010000010816	× 1 ～ 2	HKD 312	HKD 62
Galactic Wars EX	https://ec.nintendo.com/HK/zh/titles/70010000052260	× 1 ～ 2	HKD 50	HKD 40
LEGO? Worlds	https://ec.nintendo.com/HK/zh/titles/70010000050977	× 1 ～ 2	HKD 312	HKD 249
LEGO? DC 超級反派	https://ec.nintendo.com/HK/zh/titles/70010000013222	× 1 ～ 2	HKD 429	HKD 107
Fantasy Checkers	https://ec.nintendo.com/HK/zh/titles/70010000040995	× 1 ～ 2	HKD 75	HKD 10
